SchoolName,CONTENT_AREA,CATEGORY,TYPE,GRADE_SUBJECT,YEAR,ACCOUNTABLE,PARTICIPANT,REPORTABLE,LEVEL_NOT_DETERMINED,LEVEL_NOT_DETERMINED_PCT,BELOW_BASIC,BELOW_BASIC_PCT,BASIC,BASIC_PCT,PROFICIENT,PROFICIENT_PCT,ADVANCED,ADVANCED_PCT,MAP_INDEX,MEAN_SCALE_SCORE,MEDIAN_TERRANOVA
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Third Grade,2010,56,,56,*,*,13,23.2,36,64.3,*,7.1,*,5.4,,613.0,30.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Third Grade,2009,43,,43,*,*,*,14.0,33,76.7,*,9.3,*,*,,614.9,33.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Third Grade,2008,42,,42,*,*,11,26.2,20,47.6,*,16.7,*,9.5,,618.0,42.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Third Grade,2007,57,,56,*,*,13,23.2,37,66.1,*,10.7,*,*,,611.6,30.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Third Grade,2006,40,,40,*,*,13,32.5,20,50.0,*,10.0,*,7.5,,608.6,23.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fourth Grade,2010,48,,48,*,*,15,31.3,20,41.7,11,22.9,*,*,,633.3,30.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fourth Grade,2009,46,,46,*,*,*,10.9,31,67.4,10,21.7,*,*,,636.2,37.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fourth Grade,2008,49,,49,*,*,11,22.4,30,61.2,*,16.3,*,*,,632.1,33.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fourth Grade,2007,34,,34,*,*,14,41.2,13,38.2,*,20.6,*,*,,612.5,39.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fourth Grade,2006,37,,37,*,*,*,21.6,23,62.2,*,16.2,*,*,,627.9,39.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fifth Grade,2010,44,,44,*,*,*,15.9,21,47.7,13,29.5,*,6.8,,657.1,32.5
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fifth Grade,2009,46,,46,*,*,14,30.4,25,54.3,*,13.0,*,*,,640.4,27.5
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fifth Grade,2008,41,,41,*,*,*,17.1,23,56.1,11,26.8,*,*,,649.3,37.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fifth Grade,2007,32,,32,*,*,*,25.0,18,56.3,*,18.8,*,*,,637.7,36.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Fifth Grade,2006,63,,63,*,*,14,22.2,40,63.5,*,12.7,*,*,,641.8,34.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Sixth Grade,2010,44,,44,*,*,*,20.5,27,61.4,*,18.2,*,*,,650.3,35.5
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Sixth Grade,2009,36,,36,*,*,*,25.0,19,52.8,*,19.4,*,*,,645.4,40.0
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Sixth Grade,2008,26,,26,*,*,*,15.4,18,69.2,*,15.4,*,*,,651.8,35.5
ADAMS ELEM.  (4000),Eng. Language Arts,Total,Total,Sixth Grade,2007,41,,40,*,*,11,27.5,27,67.5,*,5.0,*,*,,642.9,37.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Third Grade,2010,55,,55,*,*,15,27.3,23,41.8,15,27.3,*,*,,597.4,33.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Third Grade,2009,43,,43,*,*,10,23.3,26,60.5,*,14.0,*,*,,594.8,35.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Third Grade,2008,42,,42,*,*,10,23.8,25,59.5,*,16.7,*,*,,588.0,24.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Third Grade,2007,57,,57,*,*,19,33.3,34,59.6,*,7.0,*,*,,582.2,26.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Third Grade,2006,40,,40,*,*,*,20.0,24,60.0,*,15.0,*,5.0,,593.2,37.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fourth Grade,2010,48,,48,*,*,*,14.6,31,64.6,10,20.8,*,*,,625.8,48.5
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fourth Grade,2009,43,,43,*,*,10,23.3,24,55.8,*,20.9,*,*,,620.4,31.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fourth Grade,2008,49,,49,*,*,*,18.4,37,75.5,*,6.1,*,*,,612.1,30.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fourth Grade,2007,34,,34,*,*,*,23.5,22,64.7,*,8.8,*,*,,616.0,32.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fourth Grade,2006,37,,37,*,*,*,13.5,26,70.3,*,16.2,*,*,,624.7,50.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fifth Grade,2010,44,,44,*,*,*,20.5,20,45.5,13,29.5,*,*,,641.1,44.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fifth Grade,2009,47,,47,*,*,*,19.1,31,66.0,*,8.5,*,6.4,,630.7,30.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fifth Grade,2008,41,,41,*,*,13,31.7,22,53.7,*,12.2,*,*,,623.1,27.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fifth Grade,2007,32,,32,*,*,*,15.6,21,65.6,*,18.8,*,*,,633.7,40.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Fifth Grade,2006,63,,62,*,*,14,22.6,41,66.1,*,11.3,*,*,,626.5,31.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Sixth Grade,2010,44,,44,*,*,13,29.5,22,50.0,*,15.9,*,*,,648.6,21.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Sixth Grade,2009,36,,36,*,*,14,38.9,*,25.0,12,33.3,*,*,,645.6,39.0
ADAMS ELEM.  (4000),Mathematics,Total,Total,Sixth Grade,2008,26,,26,*,*,*,15.4,20,76.9,*,7.7,*,*,,650.2,27.5
ADAMS ELEM.  (4000),Mathematics,Total,Total,Sixth Grade,2007,41,,41,*,*,*,22.0,26,63.4,*,12.2,*,*,,652.8,40.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Third Grade,2010,39,,39,*,*,*,10.3,16,41.0,*,15.4,13,33.3,,646.9,72.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Third Grade,2009,53,,53,*,*,11,20.8,26,49.1,*,15.1,*,15.1,,622.7,39.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Third Grade,2008,52,,52,*,*,13,25.0,22,42.3,*,17.3,*,15.4,,628.5,50.5
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Third Grade,2007,42,,42,*,*,*,9.5,13,31.0,*,21.4,16,38.1,,648.7,73.5
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Third Grade,2006,49,,49,*,*,18,36.7,18,36.7,*,16.3,*,10.2,,613.6,28.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fourth Grade,2010,56,,56,*,*,13,23.2,31,55.4,*,7.1,*,14.3,,638.4,39.5
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fourth Grade,2009,58,,58,*,*,16,27.6,34,58.6,*,12.1,*,*,,628.6,34.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fourth Grade,2008,47,,47,*,*,*,8.5,30,63.8,12,25.5,*,*,,641.7,46.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fourth Grade,2007,42,,42,*,*,14,33.3,21,50.0,*,9.5,*,7.1,,627.1,40.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fourth Grade,2006,71,,71,*,*,22,31.0,36,50.7,*,12.7,*,5.6,,629.0,41.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fifth Grade,2010,66,,66,*,*,15,22.7,35,53.0,13,19.7,*,*,,644.6,32.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fifth Grade,2009,62,,62,*,*,*,14.5,44,71.0,*,14.5,*,*,,650.1,41.5
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fifth Grade,2008,47,,47,*,*,*,10.6,34,72.3,*,12.8,*,*,,650.9,38.0
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fifth Grade,2007,64,,64,*,*,15,23.4,37,57.8,10,15.6,*,*,,646.2,42.5
AMES VISUAL/PERF. ARTS  (4250),Eng. Language Arts,Total,Total,Fifth Grade,2006,55,,55,*,*,13,23.6,37,67.3,*,9.1,*,*,,640.8,37.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Third Grade,2010,39,,39,*,*,*,15.4,15,38.5,10,25.6,*,20.5,,630.8,62.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Third Grade,2009,53,,53,*,*,16,30.2,25,47.2,10,18.9,*,*,,590.6,27.0
