,YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE,LUNCH_COUNT_FREE_REDUCED_PCT,SCHADDR1,SCHADDR2,SCHCITY,SCHZIP,SCHLPHON,SCHLFAX,BGRADE,EGRADE,SCHTTEACH,SCHENRR,SCHENRNR,SCHTENR,ELEMENTARY_SCHOOL_FLAG,MIDDLE_SCHOOL_FLAG,JUNIOR_HIGH_SCHOOL_FLAG,HIGH_SCHOOL_FLAG,AVTS_FLAG,ALTERNATIVE_SCHOOL_FLAG,FULL_CODE,CHARTER,MAGNET,ALTERNATIVE,lat,lng
0,2000,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,71,69,32,46.4,,,*,*,65,91.55,*,*,*,*,*,*,,,5,7.04,*,*,*,*,*,*,,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
1,2001,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,86,81,43,53.1,,,*,*,75,87.21,*,*,*,*,*,*,,,11,12.79,*,*,*,*,*,*,,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
2,2002,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,92,82,35,42.7,,,*,*,89,96.74,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
3,2003,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,73,89,43,48.3,,,*,*,72,98.63,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
4,2004,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,98,98,45,45.9,,,*,*,93,94.9,*,*,*,*,*,*,,,5,5.1,*,*,*,*,*,*,,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
5,2005,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,68,87,51,58.6,,,*,*,65,95.59,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
6,2006,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,69,92,53,,,,*,*,63,91.3,*,*,*,*,*,*,,,5,7.25,*,*,*,*,29,42.03,57.6,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
7,2007,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,69,87,33,,,,*,*,65,94.2,*,*,*,*,*,*,,,*,*,*,*,*,*,39,56.52,37.9,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
8,2008,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,46,23,*,,,,*,*,46,100,*,*,*,*,*,*,,,*,*,*,*,*,*,7,15.22,*,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
9,2009,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,23,35,12,,,,*,*,22,95.65,*,*,*,*,*,*,,,*,*,*,*,*,*,17,73.91,34.3,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
