FULL_CODE,SCHOOL_NAME,ELEM,MIDDLE,HIGH,ENROLLMENT_GRADES_K_12_00,ENROLLMENT_GRADES_K_12_10,WARD,WARD_CHILD_POP_00,WARD_CHILD_POP_10,WARD_CHILD_POP_CHANGE,WARD_CHILD_POP_CHANGE_PCT,ENG,MATH,BLACK_PCT,CHARTER_CHANGE_1,CHARTER_CHANGE_3,ENROLLMENT_CHANGE,ENROLLMENT_CHANGE_PCT
115-115-4180,BRYAN HILL ELEM.,1,0,0,269,176,3,4113,2303,-1810,-0.440068077,50.43333333,46.16666667,0.995729814,728,4007,-93,-0.345724907
115-115-4200,BUDER ELEM.,1,0,0,468,339,14,3251,2497,-754,-0.231928637,44.73333333,45.26666667,0.276013905,913,1898,-129,-0.275641026
115-115-4280,CARVER ELEM. COMM. ED. CTR.,1,0,0,136,0,19,2520,1988,-532,-0.211111111,36.15191883,31.89114272,1,655,5569,-136,-1
115-115-4320,CLARK ELEM.,1,0,0,354,0,26,3215,2684,-531,-0.165163297,32.90625,27.5,0.99318698,0,1638,-354,-1
115-115-4360,CLAY ELEM.,1,0,0,427,183,3,4113,2303,-1810,-0.440068077,33.46666667,28.66666667,0.960735762,936,3090,-244,-0.571428571
115-115-4660,FROEBEL ELEM.,1,0,0,495,337,20,4512,3623,-889,-0.197030142,41.46666667,39.06666667,0.872672253,1602,4994,-158,-0.319191919
115-115-4700,GARFIELD ELEM.,1,0,0,364,0,9,3753,2589,-1164,-0.310151878,36.39915947,32.60076425,0.724020443,779,6366,-364,-1
115-115-4760,GUNDLACH ELEM.,1,0,0,354,0,22,4211,2776,-1435,-0.340774163,31.42307692,24.73076923,0.998864497,54,1699,-354,-1
115-115-4780,HAMILTON ELEM. COMMUNITY ED.,1,0,0,370,344,26,3215,2684,-531,-0.165163297,26.04761905,24.78571429,0.929818436,0,300,-26,-0.07027027
115-115-4840,HEMPSTEAD ELEM.,1,0,0,382,0,22,4211,2776,-1435,-0.340774163,36.15333972,31.89522089,0.998413957,0,971,-382,-1
115-115-4890,HICKEY ELEM.,1,0,0,375,260,4,3665,2482,-1183,-0.322783083,26.43333333,22.3,0.996965099,54,4795,-115,-0.306666667
115-115-5000,JACKSON ELEM.,1,0,0,310,0,3,4113,2303,-1810,-0.440068077,36.16303167,31.92303841,0.98759542,2308,5353,-310,-1
115-115-5020,JEFFERSON ELEM.,1,0,0,330,214,5,3855,3930,75,0.019455253,32.19047619,25.4047619,0.997488138,2308,5436,-116,-0.351515152
115-115-5080,LAFAYETTE ELEM.,1,0,0,490,0,7,2656,2063,-593,-0.223268072,36.37139233,32.52106796,0.755015198,812,5453,-490,-1
115-115-5100,LEXINGTON ELEM.,1,0,0,395,254,1,3294,2385,-909,-0.275956284,46.44117647,43.38235294,0.998554913,54,1699,-141,-0.356962025
115-115-5160,LOWELL ELEM.,1,0,0,429,0,2,3263,2537,-726,-0.222494637,36.16951136,31.9416362,0.980362538,728,3290,-429,-1
115-115-5500,MERAMEC ELEM.,1,0,0,303,211,20,4512,3623,-889,-0.197030142,31.06666667,30.53333333,0.902884264,1602,3665,-92,-0.303630363
