,FULL_CODE,SCHOOL_NAME,CHARTER,BGRADE,EGRADE,ZIP_CODE,lat,lng,ENROLLMENT_GRADES_K_12_00,ENROLLMENT_GRADES_K_12_10,WARD,WARD_CHILD_POP_00,WARD_CHILD_POP_10,WARD_CHILD_POP_CHANGE,WARD_CHILD_POP_CHANGE_PCT,Eng. Language Arts,Mathematics,BLACK_PCT
0,115-115-4000,ADAMS ELEM.,False,PK,6,63110,38.62458499,-90.257114,0,350,17,2475,2154,-321,-0.12969697,34.26315789473684,34.0,0.9600519649236764
1,115-115-4060,ASHLAND ELEM. AND BR.,False,PK,6,63115,38.671584,-90.23595204,519,318,21,3602,2697,-905,-0.251249306,26.76315789473684,22.894736842105264,0.9979368681658758
2,115-115-4080,BADEN ELEM.,False,PK,6,63147,38.717661,-90.23635303,353,0,2,3263,2537,-726,-0.222494637,23.65625,23.78125,0.9932475884244372
3,115-115-4100,BANNEKER ELEM.,False,PK,6,63103,38.6369082,-90.21813227,206,0,19,2520,1988,-532,-0.211111111,,,1.0
4,115-115-1250,BEAUMONT HIGH,False,9,12,63107,38.662725,-90.22188897,1465,782,3,4113,2303,-1810,-0.440068077,38.333333333333336,27.166666666666668,0.9976467232403908
5,115-115-3020,BLEWETT MIDDLE,False,6,8,63106,38.64374799,-90.20379998,346,0,3,4113,2303,-1810,-0.440068077,28.25,20.45,0.9994095069382934
6,115-115-3040,BLOW MIDDLE COMMUNITY ED. CTR.,False,6,8,63111,38.55467602,-90.25706698,467,0,11,3048,2587,-461,-0.151246719,31.166666666666668,21.416666666666668,0.6947819871336669
7,115-115-4180,BRYAN HILL ELEM.,False,PK,5,63107,38.67114801,-90.21259302,269,176,3,4113,2303,-1810,-0.440068077,50.43333333333333,46.16666666666666,0.9957298136645962
8,115-115-4200,BUDER ELEM.,False,PK,5,63109,38.58895201,-90.28313302,468,339,14,3251,2497,-754,-0.231928637,44.73333333333333,45.266666666666666,0.2760139049826188
9,115-905-6950,CARONDELET CAMPUS,True,K,8,63111,38.54891401,-90.26070104,0,255,11,3048,2587,-461,-0.151246719,,,0.5683453237410072
10,115-115-4280,CARVER ELEM. COMM. ED. CTR.,False,PK,5,63106,38.642095,-90.22607296,136,0,19,2520,1988,-532,-0.211111111,,,1.0
11,115-911-6955,CITY GARDEN MONTESSORI CHARTER,True,PK, K,63110,38.619948,-90.25528297,0,79,19,2520,1988,-532,-0.211111111,,,0.4580152671755725
12,115-115-4320,CLARK ELEM.,False,PK,5,63113,38.65678998,-90.27200797,354,0,26,3215,2684,-531,-0.165163297,32.90625,27.5,0.9931869795609388
13,115-115-4360,CLAY ELEM.,False,PK,5,63107,38.663172,-90.19927904,427,183,3,4113,2303,-1810,-0.440068077,33.46666666666667,28.666666666666668,0.9607357622921824
14,115-115-4400,COLE ELEM.,False,PK,8,63108,38.64516202,-90.23825396,386,158,18,3030,2317,-713,-0.235313531,33.61904761904762,26.11904761904762,0.996797153024911
15,115-905-6925,COLLEGE HILL CAMPUS,True,K,8,63107,38.67485499,-90.21328897,0,250,21,3602,2697,-905,-0.251249306,,,0.9840425531914894
16,115-906-1920,CONFLUENCE PREPARATORY ACADEMY,True,9,12,63103,38.63098101,-90.20077101,0,233,5,3855,3930,75,0.019455253,,,0.9337539432176656
17,115-901-1910,CONSTRUCTION CAREERS CENTER,True,9,12,63104,38.617094,-90.20833199,0,378,7,2656,2063,-593,-0.223268072,,,0.9618573797678276
18,115-115-4410,COOK ELEM.,False,PK,8,63112,38.66276598,-90.29060599,301,0,26,3215,2684,-531,-0.165163297,,,0.9983164983164984
19,115-115-4440,COTE BRILLIANTE ELEM.,False,PK,8,63113,38.66437502,-90.24765402,338,204,4,3665,2482,-1183,-0.322783083,38.8421052631579,36.078947368421055,0.9950479727638502
20,115-115-4460,CUPPLES ELEM.,False,PK,8,63113,38.66433101,-90.25790299,225,0,1,3294,2385,-909,-0.275956284,,,1.0
21,115-115-4480,DUNBAR AND BR.,False,PK,6,63106,38.645144,-90.220701,360,193,19,2520,1988,-532,-0.211111111,26.710526315789476,30.36842105263158,0.997416855020988
22,115-904-1915,E H LYLE MIDDLE/HIGH,True,6,12,63103,38.631245,-90.20689098,0,323,19,2520,1988,-532,-0.211111111,,,0.9907464528069092
23,115-115-5610,"EARL NANCE, SR. ELEM.",False,PK,6,63147,38.72143302,-90.24124404,0,359,2,3263,2537,-726,-0.222494637,34.0,31.425,0.9972353870458136
24,115-115-4500,ELIOT ELEM.,False,PK,6,63107,38.66567431,-90.20966887,298,0,3,4113,2303,-1810,-0.440068077,,,0.9974468085106384
25,115-115-4520,EMERSON ELEM.,False,PK,6,63112,38.66286598,-90.27454702,189,0,26,3215,2684,-531,-0.165163297,,,0.9970588235294118
26,115-904-6920,ETHEL HEDGEMAN LYLE ACADEMY,True,K,5,63103,38.63287,-90.20053297,0,484,5,3855,3930,75,0.019455253,,,0.9993412384716732
